sku_id,category,base_demand
SKU0001,groceries,35
SKU0002,dairy,23
SKU0003,beverages,22
SKU0004,personal_care,12
SKU0005,household,5
SKU0006,snacks,18
SKU0007,staples,34
SKU0008,groceries,38
SKU0009,dairy,20
SKU0010,beverages,21
SKU0011,personal_care,6
SKU0012,household,5
SKU0013,snacks,21
SKU0014,staples,7
SKU0015,groceries,11
SKU0016,dairy,20
SKU0017,beverages,11
SKU0018,personal_care,8
SKU0019,household,4
SKU0020,snacks,10
SKU0021,staples,33
SKU0022,groceries,27
SKU0023,dairy,25
SKU0024,beverages,9
SKU0025,personal_care,6
SKU0026,household,6
SKU0027,snacks,11
SKU0028,staples,24
SKU0029,groceries,23
SKU0030,dairy,22
SKU0031,beverages,14
SKU0032,personal_care,13
SKU0033,household,5
SKU0034,snacks,12
SKU0035,staples,28
SKU0036,groceries,17
SKU0037,dairy,26
SKU0038,beverages,5
SKU0039,personal_care,4
SKU0040,household,6
SKU0041,snacks,25
SKU0042,staples,23
SKU0043,groceries,28
SKU0044,dairy,22
SKU0045,beverages,8
SKU0046,personal_care,5
SKU0047,household,5
SKU0048,snacks,27
SKU0049,staples,24
SKU0050,groceries,11
SKU0051,dairy,27
SKU0052,beverages,15
SKU0053,personal_care,6
SKU0054,household,7
SKU0055,snacks,27
SKU0056,staples,29
SKU0057,groceries,21
SKU0058,dairy,22
SKU0059,beverages,20
SKU0060,personal_care,10
SKU0061,household,4
SKU0062,snacks,18
SKU0063,staples,13
SKU0064,groceries,17
SKU0065,dairy,32
SKU0066,beverages,26
SKU0067,personal_care,7
SKU0068,household,8
SKU0069,snacks,22
SKU0070,staples,17
SKU0071,groceries,33
SKU0072,dairy,38
SKU0073,beverages,17
SKU0074,personal_care,12
SKU0075,household,2
SKU0076,snacks,25
SKU0077,staples,22
SKU0078,groceries,26
SKU0079,dairy,25
SKU0080,beverages,5
SKU0081,personal_care,7
SKU0082,household,6
SKU0083,snacks,30
SKU0084,staples,18
SKU0085,groceries,21
SKU0086,dairy,20
SKU0087,beverages,23
SKU0088,personal_care,8
SKU0089,household,4
SKU0090,snacks,23
SKU0091,staples,22
SKU0092,groceries,40
SKU0093,dairy,18
SKU0094,beverages,15
SKU0095,personal_care,6
SKU0096,household,2
SKU0097,snacks,22
SKU0098,staples,24
SKU0099,groceries,30
SKU0100,dairy,22
SKU0101,beverages,9
SKU0102,personal_care,6
SKU0103,household,5
SKU0104,snacks,14
SKU0105,staples,20
SKU0106,groceries,34
SKU0107,dairy,41
SKU0108,beverages,19
SKU0109,personal_care,8
SKU0110,household,5
SKU0111,snacks,6
SKU0112,staples,21
SKU0113,groceries,30
SKU0114,dairy,46
SKU0115,beverages,16
SKU0116,personal_care,8
SKU0117,household,5
SKU0118,snacks,11
SKU0119,staples,30
SKU0120,groceries,37
SKU0121,dairy,31
SKU0122,beverages,12
SKU0123,personal_care,11
SKU0124,household,3
SKU0125,snacks,24
SKU0126,staples,38
SKU0127,groceries,19
SKU0128,dairy,20
SKU0129,beverages,18
SKU0130,personal_care,6
SKU0131,household,2
SKU0132,snacks,20
SKU0133,staples,13
SKU0134,groceries,34
SKU0135,dairy,16
SKU0136,beverages,27
SKU0137,personal_care,5
SKU0138,household,5
SKU0139,snacks,25
SKU0140,staples,12
SKU0141,groceries,32
SKU0142,dairy,36
SKU0143,beverages,7
SKU0144,personal_care,8
SKU0145,household,6
SKU0146,snacks,25
SKU0147,staples,12
SKU0148,groceries,16
SKU0149,dairy,29
SKU0150,beverages,19
SKU0151,personal_care,8
SKU0152,household,6
SKU0153,snacks,15
SKU0154,staples,23
SKU0155,groceries,33
SKU0156,dairy,18
SKU0157,beverages,29
SKU0158,personal_care,9
SKU0159,household,3
SKU0160,snacks,24
SKU0161,staples,14
SKU0162,groceries,38
SKU0163,dairy,35
SKU0164,beverages,12
SKU0165,personal_care,10
SKU0166,household,6
SKU0167,snacks,25
SKU0168,staples,36
SKU0169,groceries,27
SKU0170,dairy,18
SKU0171,beverages,12
SKU0172,personal_care,5
SKU0173,household,5
SKU0174,snacks,22
SKU0175,staples,24
SKU0176,groceries,38
SKU0177,dairy,25
SKU0178,beverages,27
SKU0179,personal_care,7
SKU0180,household,11
SKU0181,snacks,24
SKU0182,staples,15
SKU0183,groceries,18
SKU0184,dairy,29
SKU0185,beverages,16
SKU0186,personal_care,9
SKU0187,household,6
SKU0188,snacks,19
SKU0189,staples,15
SKU0190,groceries,14
SKU0191,dairy,21
SKU0192,beverages,23
SKU0193,personal_care,8
SKU0194,household,3
SKU0195,snacks,21
SKU0196,staples,24
SKU0197,groceries,20
SKU0198,dairy,26
SKU0199,beverages,18
SKU0200,personal_care,4
SKU0201,household,6
SKU0202,snacks,23
SKU0203,staples,30
SKU0204,groceries,41
SKU0205,dairy,12
SKU0206,beverages,12
SKU0207,personal_care,9
SKU0208,household,7
SKU0209,snacks,23
SKU0210,staples,51
SKU0211,groceries,35
SKU0212,dairy,34
SKU0213,beverages,24
SKU0214,personal_care,9
SKU0215,household,5
SKU0216,snacks,25
SKU0217,staples,16
